ID	Type	Label	Parent	Parent label	Text definition	Subclass of	Equivalent to	Comments	Deprecated		Notes	Plant type
ID	TYPE	A rdfs:label	SC %		A IAO:0000115	SC %	EC %	A rdfs:comment	A owl:deprecated			
PPO:0007000	Class	plant growth cycle		PO:'whole plant development stage'	"A whole plant development stage that begins with seed germination or exit from dormancy, ends with death or entry into dormancy, and during which the participant plant is not dormant."			"This class is not intended to apply to in vitro-grown plants such as tissue culture, where growth can begin with cell division."	TRUE			all vascular plants?
PPO:0007001	Class	initial growth cycle		'plant growth cycle'	A plant growth cycle that begins with seed germination.				TRUE			all vascular plants?
PPO:0007002	Class	later growth cycle		'plant growth cycle'	A plant growth cycle that begins with exit from dormancy of the participating plant. This cycle cannot begin with the exit from dormancy of a seed.				TRUE			all vascular plants?
PPO:0007003	Class	plant regreening process		GO:'biological_process'					TRUE		Need to request this in GO.	
PPO:0007004	Class	phenology observing process	OBI:0000011	planned process	A planned process that has as input a whole plant and has as output a measurement datum that is a quality datum of some plant phenological trait.	((OBI:0000293 some PO:0000003) and (OBI:0000299 some IAO:0000027 ))						
PPO:0007005	Class	vascular leaf unfolding stage	PO:0001052	vascular leaf expansion stage	A vascular leaf expansion stage during which a vascular leaf participates in the process of unfolding.			"This stage ends when a leaf is considered unfolded, which varies by species, but generally occurs once the leaf blade has unfolded enough to appear more or less like a small version of the adult leaf. For species with scaled buds, this is generally once the entire leaf blade has emerged from a breaking bud; for conifers, once a needle begins to spread away at an angle from the developing stem or from other needles in a bundle (e.g. pines); for grasses, once the leaf blade unrolls slightly from around the stem and begins to fall away at an angle; for sedges, once the leaf has grown long enough that the two halves of the blade have begun to spread apart like an open book; for rushes, once the exposed, green portion of the leaf has reached a specified length."			"This is provisional and should eventually be defined in the PO, not the PPO."	
PPO:0007006	Class	vascular leaf expanding unfolded stage	PO:0001052	vascular leaf expansion stage	A vascular leaf expansion stage during which a vascular leaf has completed the process of unfolding but is still expanding in size.			"This stage begins when a leaf is considered unfolded, which varies by species, but generally occurs once the leaf blade has unfolded enough to appear more or less like a small version of the adult leaf. For species with scaled buds, this is generally once the entire leaf blade has emerged from a breaking bud; for conifers, once a needle begins to spread away at an angle from the developing stem or from other needles in a bundle (e.g. pines); for grasses, once the leaf blade unrolls slightly from around the stem and begins to fall away at an angle; for sedges, once the leaf has grown long enough that the two halves of the blade have begun to spread apart like an open book; for rushes, once the exposed, green portion of the leaf has reached a specified length."			"This is provisional and should eventually be defined in the PO, not the PPO."	
PPO:0007007	Class	vascular leaf expanded immature stage	PO:0001053	vascular leaf post-expansion stage	A vascular leaf post-expansion stage during which a vascular leaf has not yet completed the process of maturing.			"In this stage, the leaf is fully expanded but not yet the same color and texture as fully mature leaves."			"This is provisional and should eventually be defined in the PO, not the PPO."	
PPO:0007008	Class	vascular leaf mature stage	PO:0001053	vascular leaf post-expansion stage	A vascular leaf post-expansion stage during which a vascular leaf has completed the process of maturing.						"This is provisional and should eventually be defined in the PO, not the PPO."	
